/*x y*/
1.025711,0.997263,
1.025711,0.997263,
1.025712,0.997264,
1.025712,0.997265,
1.025712,0.997266,
1.025713,0.997268,
1.025714,0.997271,
1.025714,0.997273,
1.025715,0.997277,
1.025716,0.997280,
1.025718,0.997284,
1.025719,0.997289,
1.025720,0.997294,
1.025722,0.997299,
1.025724,0.997305,
1.025725,0.997311,
1.025727,0.997318,
1.025729,0.997325,
1.025731,0.997332,
1.025734,0.997340,
1.025736,0.997349,
1.025739,0.997358,
1.025741,0.997367,
1.025744,0.997376,
1.025747,0.997386,
1.025750,0.997397,
1.025753,0.997408,
1.025756,0.997419,
1.025760,0.997431,
1.025763,0.997443,
1.025767,0.997456,
1.025771,0.997469,
1.025775,0.997482,
1.025779,0.997496,
1.025783,0.997511,
1.025787,0.997525,
1.025791,0.997541,
1.025796,0.997556,
1.025801,0.997572,
1.025805,0.997589,
1.025810,0.997606,
1.025815,0.997623,
1.025820,0.997641,
1.025826,0.997659,
1.025831,0.997677,
1.025836,0.997696,
1.025842,0.997716,
1.025848,0.997736,
1.025854,0.997756,
1.025860,0.997777,
1.025866,0.997798,
1.025872,0.997819,
1.025878,0.997841,
1.025885,0.997864,
1.025891,0.997887,
1.025898,0.997910,
1.025905,0.997933,
1.025912,0.997958,
1.025919,0.997982,
1.025926,0.998007,
1.025934,0.998032,
1.025941,0.998058,
1.025949,0.998084,
1.025956,0.998111,
1.025964,0.998138,
1.025972,0.998165,
1.025980,0.998193,
1.025988,0.998222,
1.025997,0.998250,
1.026005,0.998279,
1.026013,0.998309,
1.026022,0.998339,
1.026031,0.998369,
1.026040,0.998400,
1.026049,0.998431,
1.026058,0.998463,
1.026067,0.998495,
1.026077,0.998528,
1.026086,0.998561,
1.026096,0.998594,
1.026106,0.998628,
1.026116,0.998662,
1.026126,0.998696,
1.026136,0.998731,
1.026146,0.998767,
1.026156,0.998803,
1.026167,0.998839,
1.026177,0.998876,
1.026188,0.998913,
1.026199,0.998950,
1.026210,0.998988,
1.026221,0.999027,
1.026232,0.999065,
1.026244,0.999105,
1.026255,0.999144,
1.026267,0.999184,
1.026278,0.999225,
1.026290,0.999265,
1.026302,0.999307,
1.026314,0.999348,
1.026327,0.999390,
1.026339,0.999433,
1.026351,0.999476,
1.026364,0.999519,
1.026377,0.999563,
1.026389,0.999607,
1.026402,0.999652,
1.026415,0.999697,
1.026428,0.999742,
1.026442,0.999788,
1.026455,0.999834,
1.026469,0.999881,
1.026482,0.999928,
1.026496,0.999976,
1.026510,1.000023,
1.026524,1.000072,
1.026538,1.000121,
1.026552,1.000170,
1.026567,1.000219,
1.026581,1.000269,
1.026596,1.000320,
1.026611,1.000370,
1.026626,1.000422,
1.026640,1.000473,
1.026656,1.000525,
1.026671,1.000578,
1.026686,1.000631,
1.026702,1.000684,
1.026717,1.000738,
1.026733,1.000792,
1.026749,1.000846,
