{5.77,7.13,0.785398},
{5.76995,7.12998,0.785318},
{5.76993,7.12997,0.785286},
{5.76991,7.12996,0.785254},
{5.76988,7.12995,0.785223},
{5.76986,7.12994,0.785191},
{5.76984,7.12993,0.785159},
{5.76963,7.12984,0.784827},
{5.76958,7.12982,0.784754},
{5.76953,7.1298,0.78468},
{5.76948,7.12978,0.784606},
{5.76943,7.12976,0.784533},
{5.76938,7.12974,0.784459},
{5.76933,7.12971,0.784385},
{5.76928,7.12969,0.784311},
{5.76923,7.12967,0.784238},
{5.76918,7.12965,0.784164},
{5.76913,7.12963,0.78409},
{5.76908,7.12961,0.784016},
{5.76903,7.12959,0.783943},
{5.76898,7.12957,0.783869},
{5.76893,7.12955,0.783795},
{5.76888,7.12952,0.783722},
{5.76837,7.12931,0.782959},
{5.76828,7.12927,0.782831},
{5.76819,7.12923,0.782702},
{5.7681,7.12919,0.782573},
{5.76801,7.12915,0.782445},
{5.76792,7.12912,0.782316},
{5.76783,7.12908,0.782188},
{5.76774,7.12904,0.782059},
{5.76765,7.129,0.78193},
{5.76756,7.12896,0.781802},
{5.76747,7.12892,0.781673},
{5.76738,7.12889,0.781545},
{5.76729,7.12885,0.781416},
{5.7672,7.12881,0.781287},
{5.76711,7.12877,0.781159},
{5.76701,7.12873,0.78103},
{5.76692,7.12869,0.780902},
{5.76683,7.12866,0.780773},
{5.76674,7.12862,0.780644},
{5.76665,7.12858,0.780516},
{5.76656,7.12854,0.780387},
{5.76647,7.1285,0.780259},
{5.76638,7.12847,0.78013},
{5.76629,7.12843,0.780001},
{5.7662,7.12839,0.779873},
{5.76527,7.12799,0.778554},
{5.76512,7.12793,0.778363},
{5.76498,7.12787,0.778172},
{5.76484,7.12782,0.777982},
{5.76469,7.12776,0.777791},
{5.76455,7.1277,0.777601},
{5.76441,7.12764,0.77741},
{5.76427,7.12758,0.77722},
{5.76412,7.12752,0.777029},
{5.76398,7.12746,0.776838},
{5.76384,7.1274,0.776648},
{5.76369,7.12734,0.776457},
{5.76355,7.12728,0.776267},
{5.76341,7.12722,0.776076},
{5.76327,7.12716,0.775886},
{5.76312,7.1271,0.775695},
{5.76298,7.12704,0.775504},
{5.76284,7.12698,0.775314},
{5.76269,7.12692,0.775123},
{5.76255,7.12686,0.774933},
{5.76241,7.1268,0.774742},
{5.76226,7.12674,0.774551},
{5.76212,7.12668,0.774361},
{5.76198,7.12662,0.77417},
{5.76184,7.12656,0.77398},
{5.76169,7.1265,0.773789},
{5.76155,7.12644,0.773599},
{5.76141,7.12638,0.773408},
{5.76126,7.12632,0.773217},
{5.76112,7.12626,0.773027},
{5.76098,7.1262,0.772836},
{5.76084,7.12614,0.772646},
{5.76069,7.12608,0.772455},
{5.75928,7.1255,0.770583},
{5.75907,7.12541,0.77033},
{5.75887,7.12533,0.770077},
{5.75866,7.12524,0.769825},
{5.75845,7.12516,0.769572},
{5.75825,7.12507,0.76932},
{5.75804,7.12499,0.769067},
{5.75783,7.12491,0.768814},
